band,nuisance_policy,elapsed_s,residual_std_db,pilots,sensing_tones,within_ideal_pass_above_45deg,target,bias_bound_db,standard_error_ug_m3,critical_level_ug_m3,detection_limit_ug_m3,detection_limit_ppm,interpretation,family_alpha,family_size,required_power
multiband_reference,reference_calibration,0.1,0.0,300,170,True,H2CO,0.0,122.72818464177115,360.2317023755017,562.1016020126889,0.44264293753536416,Conditional local Gaussian limit; exact response checks and physical-domain gates reported separately,0.01,6,0.95
multiband_reference,reference_calibration,0.1,0.0,300,170,True,CH3OH,0.0,286.5471782430436,841.0731253842349,1312.401290810015,0.9684634373621439,Conditional local Gaussian limit; exact response checks and physical-domain gates reported separately,0.01,6,0.95
multiband_reference,reference_calibration,0.1,0.0,300,170,True,CH3CN,0.0,28.255555867726155,82.93569257548334,129.41194612604266,0.0745359284522799,Conditional local Gaussian limit; exact response checks and physical-domain gates reported separately,0.01,6,0.95
multiband_reference,reference_calibration,0.1,0.0,300,170,True,PM2.5,0.0,1059868217.8857086,3110924630.206834,4854252712.486734,,Conditional local Gaussian limit; exact response checks and physical-domain gates reported separately,0.01,6,0.95
multiband_reference,reference_calibration,0.1,0.0,300,170,True,PMcoarse,0.0,1300770692.9732366,3818021447.132421,5957598839.301628,,Conditional local Gaussian limit; exact response checks and physical-domain gates reported separately,0.01,6,0.95
multiband_reference,reference_calibration,0.1,0.0,300,170,True,PM10,0.0,240902690.887359,707097450.3411363,1103347115.189578,,Conditional local Gaussian limit; exact response checks and physical-domain gates reported separately,0.01,6,0.95
multiband_reference,reference_calibration,0.1,0.0,300,170,True,H2CO,0.0001,122.72818464177115,361.46583981103305,564.5698768837516,0.444586650977311,Conditional local Gaussian limit; exact response checks and physical-domain gates reported separately,0.01,6,0.95
multiband_reference,reference_calibration,0.1,0.0,300,170,True,CH3OH,0.0001,286.5471782430436,844.1924322631826,1318.6399045679104,0.9730671125997817,Conditional local Gaussian limit; exact response checks and physical-domain gates reported separately,0.01,6,0.95
multiband_reference,reference_calibration,0.1,0.0,300,170,True,CH3CN,0.0001,28.255555867726155,83.2823238224906,130.10520862005717,0.07493521897529071,Conditional local Gaussian limit; exact response checks and physical-domain gates reported separately,0.01,6,0.95
multiband_reference,reference_calibration,0.1,0.0,300,170,True,PM2.5,0.0001,1059868217.8857086,3124536038.313387,4881475528.699841,,Conditional local Gaussian limit; exact response checks and physical-domain gates reported separately,0.01,6,0.95
multiband_reference,reference_calibration,0.1,0.0,300,170,True,PMcoarse,0.0001,1300770692.9732366,3834725686.8535223,5991007318.743831,,Conditional local Gaussian limit; exact response checks and physical-domain gates reported separately,0.01,6,0.95
multiband_reference,reference_calibration,0.1,0.0,300,170,True,PM10,0.0001,240902690.887359,710190281.9556844,1109532778.4186742,,Conditional local Gaussian limit; exact response checks and physical-domain gates reported separately,0.01,6,0.95
multiband_reference,reference_calibration,0.1,0.0,300,170,True,H2CO,0.001,122.72818464177115,372.57307673081516,586.7843507233158,0.46208007195483247,Conditional local Gaussian limit; exact response checks and physical-domain gates reported separately,0.01,6,0.95
multiband_reference,reference_calibration,0.1,0.0,300,170,True,CH3OH,0.001,286.5471782430436,872.2661941737118,1374.787428388969,1.014500189738523,Conditional local Gaussian limit; exact response checks and physical-domain gates reported separately,0.01,6,0.95
multiband_reference,reference_calibration,0.1,0.0,300,170,True,CH3CN,0.001,28.255555867726155,86.40200504555591,136.3445710661878,0.07852883368238804,Conditional local Gaussian limit; exact response checks and physical-domain gates reported separately,0.01,6,0.95
multiband_reference,reference_calibration,0.1,0.0,300,170,True,PM2.5,0.001,1059868217.8857086,3247038711.2723646,5126480874.617796,,Conditional local Gaussian limit; exact response checks and physical-domain gates reported separately,0.01,6,0.95
multiband_reference,reference_calibration,0.1,0.0,300,170,True,PMcoarse,0.001,1300770692.9732366,3985063844.3434324,6291683633.72365,,Conditional local Gaussian limit; exact response checks and physical-domain gates reported separately,0.01,6,0.95
multiband_reference,reference_calibration,0.1,0.0,300,170,True,PM10,0.001,240902690.887359,738025766.4866167,1165203747.4805388,,Conditional local Gaussian limit; exact response checks and physical-domain gates reported separately,0.01,6,0.95
multiband_reference,reference_calibration,0.1,0.001,300,170,True,H2CO,0.0,122.77895021445882,360.3807094574912,562.334111031038,0.44282603339297605,Conditional local Gaussian limit; exact response checks and physical-domain gates reported separately,0.01,6,0.95
multiband_reference,reference_calibration,0.1,0.001,300,170,True,CH3OH,0.0,286.6574101594964,841.3966780468593,1312.9061588402226,0.9688359958405396,Conditional local Gaussian limit; exact response checks and physical-domain gates reported separately,0.01,6,0.95
multiband_reference,reference_calibration,0.1,0.001,300,170,True,CH3CN,0.0,28.259661368626762,82.94774303954624,129.43074953815236,0.0745467584399404,Conditional local Gaussian limit; exact response checks and physical-domain gates reported separately,0.01,6,0.95
