band,nuisance_policy,elapsed_s,residual_std_db,pilots,sensing_tones,within_ideal_pass_above_45deg,weather_datetime,target,linearized_bias_ug_m3,scope
multiband_reference,reference_calibration,0.1,0.0,300,170,True,2026-01-01T00:00:00Z,H2CO,324.9988814464082,Fixed design linearized background mismatch diagnostic; large biases leave local-model validity
multiband_reference,reference_calibration,0.1,0.0,300,170,True,2026-01-01T00:00:00Z,CH3OH,-1053.0823732850645,Fixed design linearized background mismatch diagnostic; large biases leave local-model validity
multiband_reference,reference_calibration,0.1,0.0,300,170,True,2026-01-01T00:00:00Z,CH3CN,29.577626164131857,Fixed design linearized background mismatch diagnostic; large biases leave local-model validity
multiband_reference,reference_calibration,0.1,0.0,300,170,True,2026-01-01T00:00:00Z,PM2.5,1072034936.1683712,Fixed design linearized background mismatch diagnostic; large biases leave local-model validity
multiband_reference,reference_calibration,0.1,0.0,300,170,True,2026-01-01T00:00:00Z,PMcoarse,-1326511372.1030025,Fixed design linearized background mismatch diagnostic; large biases leave local-model validity
multiband_reference,reference_calibration,0.1,0.0,300,170,True,2026-01-01T00:00:00Z,PM10,-254476435.9347124,Fixed design linearized background mismatch diagnostic; large biases leave local-model validity
multiband_reference,reference_calibration,0.1,0.0,300,170,True,2026-04-01T00:00:00Z,H2CO,247.58273726686048,Fixed design linearized background mismatch diagnostic; large biases leave local-model validity
multiband_reference,reference_calibration,0.1,0.0,300,170,True,2026-04-01T00:00:00Z,CH3OH,-830.8410965177434,Fixed design linearized background mismatch diagnostic; large biases leave local-model validity
multiband_reference,reference_calibration,0.1,0.0,300,170,True,2026-04-01T00:00:00Z,CH3CN,25.33757904173069,Fixed design linearized background mismatch diagnostic; large biases leave local-model validity
multiband_reference,reference_calibration,0.1,0.0,300,170,True,2026-04-01T00:00:00Z,PM2.5,870073053.8938503,Fixed design linearized background mismatch diagnostic; large biases leave local-model validity
multiband_reference,reference_calibration,0.1,0.0,300,170,True,2026-04-01T00:00:00Z,PMcoarse,-1076840748.2764301,Fixed design linearized background mismatch diagnostic; large biases leave local-model validity
multiband_reference,reference_calibration,0.1,0.0,300,170,True,2026-04-01T00:00:00Z,PM10,-206767694.38260317,Fixed design linearized background mismatch diagnostic; large biases leave local-model validity
multiband_reference,reference_calibration,0.1,0.0,300,170,True,2026-07-01T00:00:00Z,H2CO,-749.7615912620049,Fixed design linearized background mismatch diagnostic; large biases leave local-model validity
multiband_reference,reference_calibration,0.1,0.0,300,170,True,2026-07-01T00:00:00Z,CH3OH,2135.9155840572375,Fixed design linearized background mismatch diagnostic; large biases leave local-model validity
multiband_reference,reference_calibration,0.1,0.0,300,170,True,2026-07-01T00:00:00Z,CH3CN,-48.83043477654587,Fixed design linearized background mismatch diagnostic; large biases leave local-model validity
multiband_reference,reference_calibration,0.1,0.0,300,170,True,2026-07-01T00:00:00Z,PM2.5,-17021564381.745003,Fixed design linearized background mismatch diagnostic; large biases leave local-model validity
multiband_reference,reference_calibration,0.1,0.0,300,170,True,2026-07-01T00:00:00Z,PMcoarse,20916384976.48842,Fixed design linearized background mismatch diagnostic; large biases leave local-model validity
multiband_reference,reference_calibration,0.1,0.0,300,170,True,2026-07-01T00:00:00Z,PM10,3894820594.7433844,Fixed design linearized background mismatch diagnostic; large biases leave local-model validity
multiband_reference,reference_calibration,0.1,0.0,300,170,True,2026-09-01T00:00:00Z,H2CO,-336.3578140918503,Fixed design linearized background mismatch diagnostic; large biases leave local-model validity
multiband_reference,reference_calibration,0.1,0.0,300,170,True,2026-09-01T00:00:00Z,CH3OH,926.3636249423196,Fixed design linearized background mismatch diagnostic; large biases leave local-model validity
multiband_reference,reference_calibration,0.1,0.0,300,170,True,2026-09-01T00:00:00Z,CH3CN,-18.656611221196272,Fixed design linearized background mismatch diagnostic; large biases leave local-model validity
multiband_reference,reference_calibration,0.1,0.0,300,170,True,2026-09-01T00:00:00Z,PM2.5,-5618217403.726282,Fixed design linearized background mismatch diagnostic; large biases leave local-model validity
multiband_reference,reference_calibration,0.1,0.0,300,170,True,2026-09-01T00:00:00Z,PMcoarse,6905044359.252779,Fixed design linearized background mismatch diagnostic; large biases leave local-model validity
multiband_reference,reference_calibration,0.1,0.0,300,170,True,2026-09-01T00:00:00Z,PM10,1286826955.5264926,Fixed design linearized background mismatch diagnostic; large biases leave local-model validity
multiband_reference,reference_calibration,0.1,0.001,300,170,True,2026-01-01T00:00:00Z,H2CO,325.2772137450529,Fixed design linearized background mismatch diagnostic; large biases leave local-model validity
multiband_reference,reference_calibration,0.1,0.001,300,170,True,2026-01-01T00:00:00Z,CH3OH,-1052.3758254518866,Fixed design linearized background mismatch diagnostic; large biases leave local-model validity
multiband_reference,reference_calibration,0.1,0.001,300,170,True,2026-01-01T00:00:00Z,CH3CN,29.56240669152112,Fixed design linearized background mismatch diagnostic; large biases leave local-model validity
multiband_reference,reference_calibration,0.1,0.001,300,170,True,2026-01-01T00:00:00Z,PM2.5,1073963263.5129557,Fixed design linearized background mismatch diagnostic; large biases leave local-model validity
multiband_reference,reference_calibration,0.1,0.001,300,170,True,2026-01-01T00:00:00Z,PMcoarse,-1328878934.5676003,Fixed design linearized background mismatch diagnostic; large biases leave local-model validity
